,author,content,probs
9211,tyrion lannister,Sometimes we think we want to hear something and it's only afterwards when it's too late that we realize we wished we'd heard it under entirely different circumstances.,"[[0.00494071 0.00596451 0.00696632 0.02523337 0.01005539 0.00292918
  0.9439105 ]]"
9212,sansa stark,"It's all right, really.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9213,tyrion lannister,How to begin? It's- this- this- this is awkward.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9214,varys,"A thousand blades taken from the hands of Aegon's fallen enemies, forged in the fiery breath of Balerion the Dread.","[[0.00098621 0.0012635  0.00232355 0.01491487 0.00301364 0.00114809
  0.9763501 ]]"
9215,petyr baelish,There aren't. There aren't even two hundred. I've counted.,"[[3.6754876e-01 3.5268095e-01 1.3019191e-01 8.2172995e-04 1.4826795e-01
  4.8728715e-04 1.3735398e-06]]"
9216,varys,"Ha, I'm sure you have. Ugly old thing. Yet it has a certain appeal. The Lysa Arryn of chairs. Shame you had to settle for your second choice.","[[0.11817142 0.13325116 0.13694249 0.31643313 0.21052067 0.06620758
  0.01847355]]"
9217,petyr baelish,"Early days, my friend. It is flattering, really, you feeling such dread at the prospect of me getting what I want.","[[0.00659716 0.00836054 0.01866041 0.17348118 0.02367885 0.0142757
  0.7549461 ]]"
9218,varys,"Thwarting you has never been my primary ambition, I promise you. Although who doesn't like to see their friends fail now and then?","[[1.18548705e-04 1.67893711e-04 6.71870832e-04 1.08540813e-02
  7.19070260e-04 4.49598563e-04 9.87018943e-01]]"
9219,petyr baelish,"You're so right. For instance, when I thwarted your plan to give Sansa Stark to the Tyrells. If I'm going to be honest, I did feel an unmistakable sense of enjoyment there. But your confidant, the one who fed you information about my plans, the one you swore to protect, you didn't bring her any enjoyment. And she didn't bring me any enjoyment. She was a bad investment on my part. Luckily, I have a friend who wanted to try something new. Something daring. And he was so grateful to me for providing this fresh experience.","[[0.01128361 0.01430344 0.04365642 0.73110676 0.05376541 0.06180107
  0.08408333]]"
9220,varys,I did what I did for the good of the realm.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9221,petyr baelish,The realm? Do you know what the realm is? It's the thousand blades of Aegon's enemies. A story we agree to tell each other over and over till we forget that it's a lie.,"[[3.71311665e-01 3.57354701e-01 1.09907314e-01 3.20165744e-03
  1.55896023e-01 2.29158159e-03 3.69857989e-05]]"
9222,varys,But what do we have left once we abandon the lie? Chaos. A gaping pit waiting to swallow us all.,"[[4.5420532e-04 6.0722436e-04 1.6009304e-03 1.6225228e-02 1.9095986e-03
  9.5428637e-04 9.7824848e-01]]"
9223,petyr baelish,Chaos isn't a pit. Chaos is a ladder.,"[[0.0155328  0.01947249 0.0542401  0.73841166 0.0703434  0.06402799
  0.0379716 ]]"
9224,petyr baelish,Many who try to climb it fail and never get to try again. The fall breaks them.,"[[0.00220688 0.00274283 0.00401082 0.01933345 0.00548855 0.00182222
  0.9643953 ]]"
9225,petyr baelish,"And some are given a chance to climb, but they refuse. They cling to the realm or the gods or love. Illusions. Only the ladder is real. The climb is all there is.","[[0.08144432 0.09672403 0.13321495 0.41560104 0.20387903 0.05766442
  0.01147215]]"
9226,ygritte,How far are we?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9227,jon snow,"About a week, I think.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9228,ygritte,You think? You don't know?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9229,jon snow,"When we went to Castle Black, we took the Kingsroad.","[[0.00264931 0.00332435 0.00567308 0.03446062 0.00752431 0.00302905
  0.9433393 ]]"
9230,ygritte,You and your roads. Is that how you lot do your fighting? You march down the road banging drums and waving banners?,"[[3.52669299e-01 3.44503701e-01 1.12891465e-01 5.13481023e-03
  1.82197586e-01 2.57077999e-03 3.24874309e-05]]"
9231,jon snow,"Most of the time, yes.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9232,ygritte,How do the men holding the banners fight?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9233,jon snow,"They don't, really. It's a great honor to carry your house sigil.","[[0.07358214 0.08700033 0.12730858 0.44888484 0.19428852 0.05781241
  0.01112326]]"
9234,ygritte,"And the drummers- is that a great honor, too?","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9235,jon snow,Usually it's the young boys banging the drums.,"[[0.20591255 0.2146308  0.1240956  0.15256324 0.20485882 0.05580295
  0.04213598]]"
9236,ygritte,So what good are they?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9237,jon snow,They help the men march.,"[[0.2806723  0.28805792 0.12278024 0.05812435 0.22140865 0.0258254
  0.00313112]]"
9238,ygritte,How?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9239,jon snow,"Well, it's- it's the rhythm.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9240,ygritte,"Oh, you mean right foot, left foot, right foot, left foot, right foot? You need help remembering that? When Mance gives the signal and we hit Castle Black, we won't be banging on drums to let them know we're coming.","[[8.9564925e-04 1.3295225e-03 1.3701591e-02 9.3756115e-01 1.5124394e-02
  1.9916590e-02 1.1471053e-02]]"
9241,jon snow,"No. No, you're just gonna light the biggest fire the North has ever seen to let them know you're coming.","[[0.07179199 0.08205233 0.09258407 0.34347627 0.13685898 0.06135912
  0.21187723]]"
9242,ygritte,"You know nothing, Jon Snow.","[[0.02301648 0.02594974 0.01735484 0.02933956 0.02823144 0.00547042
  0.8706375 ]]"
9243,orell,"She's right, you don't.","[[0.03603695 0.03982661 0.02292201 0.03070491 0.03833907 0.00663522
  0.8255352 ]]"
9244,jon snow,I know you cut me loose on the Wall.,"[[0.0354303  0.03918646 0.02268391 0.030662   0.03789932 0.00658793
  0.8275501 ]]"
9245,orell,"Cut her loose, too. Do you see her sulking about it? That's because she understands the way things are.","[[0.23149002 0.24750575 0.1421467  0.09398445 0.25489902 0.0275222
  0.00245181]]"
9246,jon snow,And are you gonna share it with me? The deep wisdom you found inside the head of a bird?,"[[0.00182743 0.00254472 0.01767816 0.79446405 0.01765121 0.03501568
  0.13081877]]"
9247,orell,"People work together when it suits them. They're loyal when it suits them. They love each other when it suits them. And they kill each other when it suits them. She knows that, you don't. Which is why you'll never hold onto her.","[[3.9980203e-01 3.7235609e-01 1.1646473e-01 4.9271714e-04 1.1027064e-01
  6.0934888e-04 4.3381601e-06]]"
9248,brynden,That rain will cost us another day.,"[[3.8088852e-01 3.6150491e-01 1.1378775e-01 1.7069521e-03 1.4067289e-01
  1.4229838e-03 1.5878035e-05]]"
9249,robb stark,Frey will wait. He knows we're coming.,"[[0.02365374 0.02663621 0.01765463 0.02943568 0.02876642 0.00553709
  0.8683162 ]]"
9250,catelyn stark,Lord Walder is prickly by nature.,"[[0.02571259 0.02884881 0.01860061 0.0297173  0.0304622  0.00574323
  0.8609152 ]]"
9251,brynden,Prickly? That what you call it? Might be the least pleasant man I've ever met.,"[[0.06752107 0.07720435 0.09453703 0.40113765 0.13725446 0.06930893
  0.15303652]]"
9252,catelyn stark,"Yes, and that is why-","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9253,brynden,"I've seen wet shits I liked better than Walder Frey. Apologies, Your Grace. Spent too many years around lancers and pikemen.","[[3.91801268e-01 3.66714835e-01 1.37920126e-01 1.06515006e-04
  1.03350490e-01 1.06675630e-04 1.17317491e-07]]"
9254,talisa,"I've spent the last two years nursing wounded men, watching them bleed and die. I'm not afraid of wet shits.","[[3.29386264e-01 3.30863327e-01 1.09131925e-01 1.47894444e-02
  2.09363952e-01 6.29436737e-03 1.70742031e-04]]"
9255,catelyn stark,Lord Frey will take this delay as a slight.,"[[0.0056274  0.00672077 0.00708908 0.02211113 0.01043237 0.00274841
  0.9452709 ]]"
9256,edmure,He can take it as he likes. He's getting the wedding he wanted.,"[[0.06751206 0.07687929 0.07875784 0.2559703  0.11834932 0.04544706
  0.3570841 ]]"
9257,catelyn stark,He's getting a wedding. It was a king he wanted.,"[[0.03497973 0.03953711 0.02954679 0.05945722 0.04712049 0.01109318
  0.7782654 ]]"
9258,robb stark,Edmure is the best match a Frey has had in the history of their house. We should all get some sleep.,"[[3.4705585e-01 3.4079695e-01 1.1174537e-01 6.5117050e-03 1.9085583e-01
  2.9932337e-03 4.1030165e-05]]"
9259,robb stark,"If you don't put some clothes on, I can't promise I won't attack you again.","[[0.00766251 0.00903838 0.00864224 0.0237062  0.01300242 0.00321145
  0.9347367 ]]"
9260,talisa,Attack. Attack.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9261,robb stark,Who are you writing?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9262,talisa,My mother.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9263,robb stark,Is that Valyrian?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9264,talisa,Gaaa.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9265,robb stark,Gaaa? Say hello for me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9266,talisa,Rytsas.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9267,robb stark,Ritsas.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9268,talisa,That was close enough.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9269,robb stark,Does she know her daughter's a queen?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9270,talisa,Not yet.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9271,robb stark,"That will be a surprise, I expect.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9272,talisa,Many surprises for her.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9273,robb stark,How am I supposed to sit here planning a war when you're over there looking like that?,"[[0.02269978 0.02560738 0.01720501 0.02927897 0.02796072 0.0054362
  0.871812  ]]"
9274,talisa,Will you come with me one day to Volantis? When all this is over?,"[[0.00194346 0.00242588 0.00365796 0.01831393 0.00497015 0.00167558
  0.96701306]]"
9275,robb stark,I will.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9276,talisa,I promise. I know she'd love to meet you. And her grandchild.,"[[0.0017339  0.00216979 0.00331084 0.01673952 0.00448348 0.00150535
  0.97005713]]"
9277,robb stark,"What, now? Are you certain?","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9278,talisa,Are you angry with me?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9279,robb stark,Angry? You're my queen.,"[[0.05708614 0.06205294 0.03215242 0.03652173 0.05488379 0.00900468
  0.7482983 ]]"
9280,talisa,And I have your little prince or princess inside me.,"[[0.03520189 0.04088617 0.04340909 0.14957394 0.06479399 0.02280832
  0.6433266 ]]"
9281,robb stark,Maybe one of each.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9282,talisa,Don't get greedy.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9283,talisa,Can you leave the war for one night?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9284,robb stark,I love you. Do you hear me? I love you.,"[[0.00782086 0.00921755 0.00875615 0.02381417 0.0131932  0.00324461
  0.9339534 ]]"
9285,tormund,Most men fuck like dogs.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9286,tormund,"No grace, no skill. A few dozen thrusts and done. You need to be patient. Give her time. Your cock shouldn't go near her till she's slick as a baby seal. And then you go inside, but slowly. Don't jam it in like you're spearing a pig. Come on! Hey, come on.","[[0.17783888 0.19239831 0.14014386 0.19180943 0.22619383 0.05586635
  0.01574934]]"
9287,orell,"You think he loves you, is that it? What did he tell you? He's gonna make you his lady and live with you in some castle?","[[0.00118569 0.00150618 0.00258599 0.01523866 0.00340872 0.00123629
  0.9748385 ]]"
9288,ygritte,"No, he didn't tell me anything. He barely talks.","[[0.04580547 0.05018096 0.0272899  0.03343576 0.04614648 0.00774234
  0.7893991 ]]"
9289,orell,"I've seen you two whispering in the night, giggling like a pair of girls.","[[3.6328402e-01 3.5090917e-01 1.1554905e-01 3.0035009e-03 1.6546334e-01
  1.7730925e-03 1.7852948e-05]]"
9290,ygritte,"What, you're jealous?","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9291,orell,Of course I'm jealous. You should be with one of your own.,"[[0.03587851 0.03965922 0.02286005 0.0306943  0.0382241  0.00662325
  0.8260605 ]]"
9292,ygritte,And you're one of my own? I've never heard a kind word from your mouth.,"[[0.00167593 0.00211386 0.0034999  0.02005899 0.00467245 0.00171944
  0.9662594 ]]"
9293,orell,You would if you were mine. I'd tell you that you're beautiful and fierce and wild. I'd be good to you. You love him?,"[[0.17669241 0.18871912 0.13432665 0.19969016 0.21478826 0.06176157
  0.02402191]]"
9294,orell,Cause he's pretty? Is that it? You like his pretty hair and his pretty eyes? You think pretty is gonna make you happy?,"[[0.02771083 0.03338987 0.05740975 0.40466902 0.07811289 0.04722797
  0.3514797 ]]"
9295,ygritte,Don't touch me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9296,orell,You won't love him so much when you find out what he really is.,"[[0.35721472 0.34647045 0.09679726 0.0138467  0.17550813 0.00956229
  0.0006005 ]]"
9297,sansa stark,"Growing up at Winterfell, all I ever wanted was to escape, to come here to the capital. See the southern knights and their painted armor and King's Landing after dark- all the candles burning in all those windows. I'm stupid. A stupid little girl with stupid dreams who never learns.","[[0.01272885 0.01643135 0.0511249  0.7639046  0.0657304  0.05809666
  0.03198319]]"
9298,margaery tyrell,Come on. Come walk with me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9299,margaery tyrell,"I remember the first time I saw you in the throne room. I'd never seen anyone who looked so unhappy. I want very much for you to be happy, Sansa, and so does my grandmother.","[[0.13043447 0.14874691 0.1511014  0.26960576 0.2463534  0.04728685
  0.00647124]]"
9300,margaery tyrell,You would have been happy at Highgarden. But women in our position must make the best of our circumstances.,"[[4.1159318e-04 5.4725510e-04 1.3459836e-03 1.2257793e-02 1.6242553e-03
  7.4668444e-04 9.8306644e-01]]"
9301,sansa stark,How do I make the best of my circumstances? I have to marry him.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9302,margaery tyrell,Has Lord Tyrion mistreated you?,"[[0.02563917 0.02877009 0.01856743 0.02970779 0.03040261 0.00573603
  0.86117685]]"
9303,sansa stark,No.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9304,margaery tyrell,Has he been kind to you?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9305,sansa stark,He's tried.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9306,margaery tyrell,"You don't want him, though.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9307,sansa stark,He's a Lannister.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9308,margaery tyrell,"Far from the worst Lannister, wouldn't you say?","[[0.0058521  0.00702153 0.00788659 0.02714675 0.01146857 0.00326933
  0.93735516]]"
9309,sansa stark,I'm sorry. Here I am complaining to you.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9310,margaery tyrell,"My son will be king Sons learn from their mothers. I plan to teach mine a great deal. And your son, if I'm not mistaken, your son might be the Lord of Casterly Rock and the North someday. What?","[[0.02275262 0.02868336 0.07284519 0.6980565  0.09966932 0.05791486
  0.02007816]]"
9311,sansa stark,My son with him. I'll have to- we'll have to-,"[[0.01361597 0.01568823 0.01246146 0.02681934 0.01954791 0.00427493
  0.9075921 ]]"
9312,margaery tyrell,If it's the pain you're worried about-,"[[0.01902448 0.02161944 0.01539735 0.02848151 0.02472216 0.00501205
  0.885743  ]]"
9313,sansa stark,I'm not afraid of the pain. Not after what Joffrey's done to me.,"[[0.04493364 0.04930981 0.02724573 0.03422794 0.04593358 0.00783624
  0.79051304]]"
9314,margaery tyrell,"What is it, then? He's rather good-looking even with the scar. Especially with the scar.","[[0.02836548 0.03420362 0.0709477  0.64337844 0.09536977 0.07535483
  0.05238014]]"
9315,sansa stark,He's a dwarf. And Loras- Loras.,"[[0.01606126 0.02003285 0.05444924 0.7306976  0.07054149 0.06564561
  0.04257197]]"
9316,margaery tyrell,"Some women like tall men. Some like short men. Some like hairy men. Some like bald men. Gentle men, rough men, ugly men, pretty men, pretty girls. Most women don't know what they like until they've tried it. And, sadly, so many of us get to try so little before we're old and gray. Tyrion may surprise you. From what I've heard, he's quite experienced.","[[0.02289725 0.02796424 0.05971877 0.5847692  0.07825425 0.06275396
  0.16364224]]"
9317,sansa stark,And that's a good thing?,"[[0.00168499 0.00215721 0.00433528 0.03241328 0.00553128 0.00248688
  0.95139104]]"
9318,margaery tyrell,"It can be. We're very complicated, you know. Pleasing us takes practice.","[[0.11502961 0.1229827  0.06123972 0.06485632 0.10504802 0.01877451
  0.51206905]]"
9319,sansa stark,How do you know all this? Did your mother teach you?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9320,margaery tyrell,"Yes, sweet girl. My mother taught me.","[[0.00702417 0.00870963 0.01525298 0.10051246 0.02028658 0.00955599
  0.83865815]]"
9321,tyrion lannister,She's a child.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9322,bronn,She's a foot taller than you.,"[[0.03603695 0.03982661 0.02292201 0.03070491 0.03833907 0.00663522
  0.8255352 ]]"
9323,tyrion lannister,A tall child.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9324,bronn,What's the youngest you've ever had?,"[[0.349268   0.33483934 0.09136818 0.02741946 0.17107216 0.02039503
  0.00563785]]"
9325,tyrion lannister,Not that young.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9326,bronn,How much older?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9327,tyrion lannister,Older.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9328,bronn,"You're a lord, she's a lady. And a beauty at that. I don't see the problem.","[[0.01371558 0.01719641 0.0460529  0.60814494 0.05710163 0.05331423
  0.20447434]]"
9329,tyrion lannister,Shae isn't going to like it.,"[[0.00881116 0.01135837 0.04070214 0.79484475 0.05012738 0.05599313
  0.03816292]]"
9330,bronn,Shae is a whore. Are you gonna marry her? Eh? How did marrying a whore work out for you the first time?,"[[3.2523608e-01 3.2705548e-01 1.1410226e-01 1.1467286e-02 2.1800815e-01
  4.0711677e-03 5.9543247e-05]]"
9331,tyrion lannister,I should never have told you about that.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9332,bronn,"You want Shae, keep her. Wed one and bed the other. All you have to do is get a son in the Stark girl. He'll be Lord of Winterfell one day. You can rule the North in his name. You'll have two women and a whole kingdom of your own.","[[0.14718159 0.17408131 0.17128313 0.16798519 0.3195757  0.01924906
  0.00064399]]"
9333,tyrion lannister,Two women to despise me and a whole kingdom to join them.,"[[3.3194163e-01 3.3129328e-01 1.0651161e-01 1.7497074e-02 2.0416185e-01
  8.2769124e-03 3.1764733e-04]]"
9334,bronn,"You waste time trying to get people to love you, you'll end up the most popular dead man in town. You want to fuck that Stark girl. You just don't want to admit it.","[[0.07496958 0.08629099 0.11305884 0.4452618  0.16429713 0.07821934
  0.03790224]]"
9335,tyrion lannister,I don't pay you to put evil notions in my head. The ones already there don't need company.,"[[4.1012973e-01 3.7866706e-01 1.4250268e-01 1.0463519e-05 6.8671726e-02
  1.8390687e-05 6.2102017e-09]]"
9336,bronn,You pay me to kill people who bother you. Evil notions come free.,"[[7.5724191e-04 9.8600762e-04 2.1029552e-03 1.6386997e-02 2.6332005e-03
  1.1376250e-03 9.7599596e-01]]"
9337,tywin lannister,Your Grace.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9338,joffrey lannister,Grandfather.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9339,tywin lannister,You wanted to speak to me?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9340,joffrey lannister,Yes. I'd like a report on the meetings of my small council.,"[[4.1170346e-04 5.7363603e-04 2.3564931e-03 4.3837469e-02 2.5533063e-03
  1.9824409e-03 9.4828492e-01]]"
9341,tywin lannister,"You're welcome to attend the meetings of your small council, Your Grace. Any or all of them.","[[3.99887294e-01 3.71480346e-01 1.26049265e-01 1.97516609e-04
  1.02143325e-01 2.41624104e-04 6.82851066e-07]]"
9342,joffrey lannister,I've been very busy. Many important matters require a king's attention.,"[[0.00141517 0.00178519 0.00290156 0.0159327  0.00387387 0.00135543
  0.972736  ]]"
9343,tywin lannister,Of course.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9344,joffrey lannister,You've been holding the council meetings in the Tower of the Hand instead of the small council chamber.,"[[3.9584422e-01 3.6736917e-01 1.4411797e-01 4.7653390e-05 9.2567608e-02
  5.3326734e-05 3.1887286e-08]]"
9345,tywin lannister,"I have, yes.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9346,joffrey lannister,May I ask why?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9347,tywin lannister,"The Tower of the Hand is where I work. To walk from there to here would take time, time I could otherwise spend productively.","[[0.0123097  0.01512685 0.02613899 0.17455946 0.03513305 0.01777515
  0.71895677]]"
9348,joffrey lannister,"So if I wanted to attend a council meeting, I would now have to climb all the stairs in the Tower of the Hand?","[[3.5893810e-01 3.4771129e-01 1.0056056e-01 1.0234145e-02 1.7563628e-01
  6.6464725e-03 2.7316037e-04]]"
9349,tywin lannister,We could arrange to have you carried.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9350,joffrey lannister,Tell me about the Targaryen girl in the east and her dragons.,"[[0.01591875 0.01822352 0.01375519 0.02764853 0.02182171 0.00461139
  0.89802086]]"
9351,tywin lannister,Where did you hear about this?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9352,joffrey lannister,Is it true?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9353,tywin lannister,Apparently so.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9354,joffrey lannister,Don't you think we ought to do something about it?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9355,tywin lannister,"When I was Hand of the King under your father's predecessor, the skulls of all the Targaryen dragons were kept in this room. The skull of the last of them was right here. It was the size of an apple.","[[0.02301342 0.02805624 0.06136673 0.62495136 0.08018685 0.06849906
  0.11392641]]"
9356,joffrey lannister,And the biggest was the size of a carriage.,"[[0.03181197 0.03535597 0.02122689 0.0303721  0.03522275 0.00629446
  0.8397159 ]]"
9357,tywin lannister,"Yes, and the creature to whom it belonged died 300 years ago. Curiosities on the far side of the world are no threat to us.","[[0.0143723  0.01708631 0.01974761 0.07457443 0.02886955 0.00971085
  0.83563894]]"
9358,joffrey lannister,But how do we know these dragons are just curiosities and not the beasts that brought the whole world to heel?,"[[0.03429935 0.04071187 0.06003884 0.3392816  0.08414902 0.04389128
  0.397628  ]]"
9359,tywin lannister,Because we have been told as much by the many experts who serve the realm by counseling the king on matters about which he knows nothing.,"[[0.03496626 0.04167576 0.06428246 0.39137277 0.08981732 0.05027322
  0.3276122 ]]"
9360,joffrey lannister,But I haven't been counseled.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9361,tywin lannister,You are being counseled at this very moment.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9362,joffrey lannister,I should be consulted about such things.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9363,tywin lannister,"From now on, I will see to it that you are appropriately consulted on important matters whenever necessary. Your Grace.","[[3.1832591e-04 4.3346852e-04 1.3407902e-03 1.6535113e-02 1.5352691e-03
  8.6443679e-04 9.7897261e-01]]"
9364,jorah mormont,Yunkai. The Yellow City.,"[[0.02361462 0.02659409 0.01763633 0.02942997 0.0287337  0.00553306
  0.8684582 ]]"
9365,barristan,"The Yunkish train bed slaves, not soldiers. We can defeat them.","[[0.09506737 0.10821868 0.12645821 0.3838899  0.18970847 0.07231602
  0.02434141]]"
9366,jorah mormont,"On the field, with ease. But they won't meet us on the field. They have provisions, patience, and strong walls. If they're wise, they'll hide behind those walls and chip away at us, man by man.","[[0.20192838 0.2231469  0.15253    0.1199695  0.27311152 0.02724079
  0.00207285]]"
9367,daenerys targaryen,I don't want half my army killed before I've crossed the Narrow Sea.,"[[0.00210651 0.00262205 0.00387402 0.01890794 0.00528854 0.00176369
  0.96543723]]"
9368,jorah mormont,"We don't need Yunkai, khaleesi. Taking this city will not bring you any closer to Westeros or the Iron Throne.","[[0.36329478 0.35144225 0.09294575 0.01343742 0.16768205 0.01031962
  0.00087813]]"
9369,daenerys targaryen,How many slaves are there in Yunkai?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
9370,jorah mormont,Two hundred thousand if not more.,"[[3.5260668e-01 3.4346014e-01 1.0236799e-01 1.0863680e-02 1.8431853e-01
  6.1744708e-03 2.0851374e-04]]"
9371,daenerys targaryen,Then we have Two hundred thousand reasons to take the city.,"[[3.5260668e-01 3.4346014e-01 1.0236799e-01 1.0863680e-02 1.8431853e-01
  6.1744708e-03 2.0851374e-04]]"
9372,daenerys targaryen,"Send a man to the city gates. Tell the slavers I will receive them here, and accept their surrender. Otherwise, Yunkai will suffer the same fate as Astapor.","[[3.67179334e-01 3.54607731e-01 1.04784578e-01 5.58358477e-03
  1.63820088e-01 3.91979842e-03 1.04911844e-04]]"
9373,missandei,"Now comes the noble Razdal mo Eraz of that ancient and honorable house, master of men and speaker to savages, to offer terms of peace.","[[3.7325433e-01 3.5737559e-01 1.1725193e-01 1.7351491e-03 1.4915180e-01
  1.2209911e-03 1.0217945e-05]]"
