,author,content,clean tweets,probs
2385,britneyspears,@Starbucksney Love it! :),starbucksney love,"[[0.03450305 0.03820681 0.02231637 0.03059338 0.03722157 0.00651459
  0.83064425]]"
2386,justinbieber,See u tomorrow @RyanSeacrest . Been too long. Big news :),see u tomorrow ryanseacrest long big news,"[[0.2754869  0.29193535 0.12875475 0.04054247 0.24983287 0.01288091
  0.00056674]]"
2387,jimmyfallon,"Good show tonight. We've got @DenisLeary, @CatDeeley &amp; music from @NickelCreek. #FallonTonight",good show tonight weve got denisleary catdeeley amp music nickelcreek fallontonight,"[[0.36338007 0.3510328  0.09380901 0.01307304 0.16790532 0.01001242
  0.00078735]]"
2388,taylorswift13,"""Apparently the Golden Globes red carpet flooded. Let's just go in our jammies this year!"" -@austinswift7",apparently golden globes red carpet flooded lets go jammies year austinswift7,"[[0.00459549 0.00557916 0.00687844 0.02695472 0.00982227 0.00301344
  0.9431565 ]]"
2389,jimmyfallon,Loving benschilibowl and because I'm in DC I had to get my exercise in for flotus. #LetsMove http://t.co/IZQsM7EAQH,loving benschilibowl im dc get exercise flotus letsmove httptcoizqsm7eaqh,"[[0.00159435 0.00223982 0.01364836 0.47841817 0.01383737 0.02036133
  0.4699006 ]]"
2390,rihanna,Details #chanel http://t.co/iEC4lMuYnD,details chanel httptcoiec4lmuynd,"[[3.6511448e-01 3.5138583e-01 1.2795159e-01 1.0865597e-03 1.5383951e-01
  6.1992102e-04 2.1346602e-06]]"
2391,jtimberlake,like the custom @williamrast suit? http://bit.ly/aZ7t5m,like custom williamrast suit httpbitlyaz7t5m,"[[0.3204552  0.32494962 0.10975025 0.02104064 0.21441936 0.00903382
  0.00035109]]"
2392,taylorswift13,Headed to @theViewTV! Performing and speaking with ladies and such.,headed theviewtv performing speaking ladies,"[[0.00192221 0.00239764 0.00357831 0.01761725 0.00487126 0.00162011
  0.9679932 ]]"
2393,britneyspears,@KIMNEYSPEARS Great! Nice &amp; warm here. How was yours?,kimneyspears great nice amp warm,"[[0.08319473 0.09098481 0.05570932 0.08210401 0.09212572 0.01983471
  0.57604676]]"
2394,TheEllenShow,Honoring Prince on my show tomorrow.,honoring prince show tomorrow,"[[0.01144293 0.01446647 0.04478911 0.7564716  0.05592547 0.06270885
  0.05419555]]"
2395,Twitter,@noneshall_pass *Gasp* https://t.co/ppQECcHShQ,noneshallpass gasp httpstcoppqecchshq,"[[0.01065319 0.01356181 0.04385999 0.76901037 0.05459938 0.06059511
  0.04772012]]"
2396,KimKardashian,All Day http://t.co/zELA5ePc9o,day httptcozela5epc9o,"[[1.1825037e-04 1.6891834e-04 7.3580025e-04 1.3372969e-02 7.7270507e-04
  5.2828557e-04 9.8430312e-01]]"
2397,jimmyfallon,Getting main course now. (Chew fast!) we're on in 45 mins!,getting main course chew fast 45 mins,"[[1.1121203e-05 2.0335054e-05 1.2839735e-03 9.8473036e-01 9.6812419e-04
  4.6987389e-03 8.2873432e-03]]"
2398,Twitter,"New updates for Android, iPhone, iPad, Mac, http://t.co/eNvqKTup1d, http://t.co/0FyCsguhiw, TweetDeck; DM sync! https://t.co/EirwnqGPCx",new updates android iphone ipad mac httptcoenvqktup1d httptco0fycsguhiw tweetdeck dm sync httpstcoeirwnqgpcx,"[[3.4795707e-01 3.4188429e-01 1.2197289e-01 3.0308687e-03 1.8384455e-01
  1.3029277e-03 7.4060099e-06]]"
2399,britneyspears,@GGsaid I'm glad you love it as much as I do :) #BritneyJean,ggsaid im glad love much britneyjean,"[[0.00718674 0.00849913 0.00829456 0.02336976 0.01242193 0.00310965
  0.93711823]]"
2400,rihanna,"""still pretty"" http://t.co/SKdZQld0Ae",still pretty httptcoskdzqld0ae,"[[0.00115887 0.00147354 0.00254787 0.01513956 0.0033528  0.00122084
  0.9751065 ]]"
2401,jimmyfallon,“@fallonsfriend: @jimmyfallon will EW starring sara (with no h because h's are EW) be joining you on the Tonight Show? :)” yes.,“fallonsfriend jimmyfallon ew starring sara h hs ew joining tonight show ” yes,"[[0.06336335 0.07516053 0.11400547 0.48936874 0.16573957 0.07036809
  0.02199439]]"
2402,shakira,"Shakira has a new @Spotify playlist, which she'll regularly be adding new songs to! Head to http://t.co/lks6r3bz to listen/subscribe. ShakHQ",shakira new spotify playlist shell regularly adding new songs head httptcolks6r3bz listensubscribe shakhq,"[[0.00807312 0.00986581 0.01455591 0.07564206 0.02011945 0.00805087
  0.8636928 ]]"
2403,KimKardashian,I hope to meet you too ❤️ https://t.co/FTGLiOvLYs,hope meet ❤️ httpstcoftgliovlys,"[[0.00724871 0.00935347 0.02740406 0.3826576  0.03295038 0.02785119
  0.5125346 ]]"
2404,katyperry,"🔮✨⚡️RT @katyperrypopup For all you #KatyCats in the USA @KatyPerry’s #MadPotion is available to buy now, right here!! http://t.co/x77j5v9nD9",🔮✨⚡️ katyperrypopup katycats usa katyperry’s madpotion available buy right httptcox77j5v9nd9,"[[0.00902351 0.01114704 0.01916563 0.12529625 0.02573412 0.01234219
  0.7972912 ]]"
2405,jimmyfallon,.@kendricklamar was incredible last night!! Check it out: https://t.co/FCwdfn5yGr #FallonTonight #11GrammyNoms,kendricklamar incredible last night check httpstcofcwdfn5ygr fallontonight 11grammynoms,"[[3.8032395e-01 3.6157358e-01 1.2204810e-01 8.3212147e-04 1.3455984e-01
  6.5909303e-04 3.3962324e-06]]"
2406,shakira,Did you catch Shak &amp; @blakeshelton's performance of Medicine on @ACMawards tonight? Download it now on iTunes: http://t.co/3oW56Dc95F ShakHQ,catch shak amp blakesheltons performance medicine acmawards tonight download itunes httptco3ow56dc95f shakhq,"[[5.6255789e-04 8.1709505e-04 5.9414729e-03 2.4521723e-01 5.7265116e-03
  8.3293915e-03 7.3340571e-01]]"
2407,rihanna,Listen to #WORK from the #ANTI album here —&gt; https://t.co/atvJ4F4xuj,listen work anti album —gt httpstcoatvj4f4xuj,"[[3.6735013e-01 3.5687387e-01 1.1694858e-01 1.9190985e-03 1.5568234e-01
  1.2161077e-03 9.7920838e-06]]"
2408,YouTube,@ThunderMP @ThunderMP Soup has never been more terrifying 🍜,thundermp thundermp soup never terrifying 🍜,"[[3.5229838e-01 3.4388578e-01 1.0268101e-01 1.0474476e-02 1.8458936e-01
  5.8809477e-03 1.8999678e-04]]"
2409,jimmyfallon,The puppies were right!!! Congrats American Pharoah #KentuckyDerby,puppies right congrats american pharoah kentuckyderby,"[[0.00111747 0.00142515 0.00253661 0.01567668 0.00331605 0.00124054
  0.9746875 ]]"
2410,ArianaGrande,"omf. i love ""brewing"".  https://t.co/7oydn9v27T",omf love brewing httpstco7oydn9v27t,"[[0.04111315 0.04894176 0.085937   0.5776509  0.118938   0.07822237
  0.04919678]]"
2411,selenagomez,It's time! I am on @971AMPRadio RIGHT NOW! Hear it on 97.1 in #LA #GoodForYou,time 971ampradio right hear 971 la goodforyou,"[[0.33107808 0.33076188 0.10603646 0.01892958 0.20361207 0.00918195
  0.00039997]]"
2412,KimKardashian,The girls got princess make overs at the Bibbity Bobbity Botique! Never seen anything sweeter! Thank u @Disneyland https://t.co/zgFb1OnKNI,girls got princess make overs bibbity bobbity botique never seen anything sweeter thank u disneyland httpstcozgfb1onkni,"[[3.96474898e-01 3.69443983e-01 1.23966075e-01 3.09258088e-04
  1.09457828e-01 3.46665765e-04 1.28544002e-06]]"
2413,cnnbrk,"Suspected shooter flew into Fort Lauderdale airport and pulled gun out of checked baggage, officials say.… https://t.co/HMas6KUO5K",suspected shooter flew fo lauderdale airpo pulled gun checked baggage officials say… httpstcohmas6kuo5k,"[[3.7821907e-01 3.6077902e-01 1.1239674e-01 2.0543244e-03 1.4488846e-01
  1.6416446e-03 2.0718744e-05]]"
2414,ArianaGrande,"hard to believe it's already been 7 years since '13' opened on Bway but it has! so thankful for the friendships, the experience &amp; the music.",hard believe already 7 years since 13 opened bway thankful friendships experience amp music,"[[0.22297643 0.23869461 0.14062108 0.11423057 0.2386275  0.03852166
  0.00632823]]"
2415,taylorswift13,"I have so much to be thankful for this year. I'm leaving New York, replaying this tour in my mind. I love you all so much.",much thankful year im leaving new york replaying tour mind love much,"[[0.20194799 0.21952595 0.14641872 0.13923046 0.24639733 0.04051351
  0.00596606]]"
2416,rihanna,#Fridayz #monaco kingspleasure http://t.co/WWchdgxWF3,fridayz monaco kingspleasure httptcowwchdgxwf3,"[[3.5239962e-01 3.4420985e-01 1.0338323e-01 9.8949904e-03 1.8444367e-01
  5.5027660e-03 1.6596777e-04]]"
2417,taylorswift13,"This Q&amp;A situation right now. 🎅
http://t.co/gEvxTCgk59",qampa situation right 🎅 httptcogevxtcgk59,"[[0.01724542 0.01967754 0.01447112 0.02802449 0.0230816  0.00478755
  0.89271224]]"
2418,jtimberlake,US folks it's the final wk of @THETNKIDS @Myspace photo contest! Theme is bonus track #PairOfWings: http://t.co/qCD2tFWPtB -teamJT,us folks final wk thetnkids myspace photo contest theme bonus track pairofwings httptcoqcd2tfwptb teamjt,"[[0.01701312 0.02074851 0.03473907 0.22701491 0.04724713 0.02450001
  0.6287373 ]]"
2419,jimmyfallon,.@ArianaGrande and I combine snaps into a #SnapchatDuet https://t.co/xHUd2YoPKG #IntoYou #FallonTonight,arianagrande combine snaps snapchatduet httpstcoxhud2yopkg intoyou fallontonight,"[[3.8292959e-01 3.6455634e-01 1.1287313e-01 1.5085833e-03 1.3679475e-01
  1.3224268e-03 1.5165717e-05]]"
2420,justinbieber,What Do You Mean? @theellenshow #8days she has always been there for me. Love Ellen. See you soon. http://t.co/4KhZmK3GlY,mean theellenshow 8days always love ellen see soon httptco4khzmk3gly,"[[8.4655033e-04 1.1555268e-03 4.2321510e-03 6.9443218e-02 4.7282511e-03
  3.5707545e-03 9.1602349e-01]]"
2421,YouTube,We out here working 'til the #CrackOfDawn with @MrWilliamHaynes. https://t.co/nVRTOFc1vQ https://t.co/BvA3srKTIE,working til crackofdawn mrwilliamhaynes httpstconvofc1vq httpstcobva3srktie,"[[4.6133256e-04 6.2712538e-04 2.0252864e-03 2.6754970e-02 2.3026615e-03
  1.4088493e-03 9.6641982e-01]]"
2422,ladygaga,"Watch Abbi dance naked on @broadcity to ""The Edge of Glory"" https://t.co/6CghnlsJki if only I'd been there to join in the nakedness",watch abbi dance naked broadcity edge glory httpstco6cghnlsjki id join nakedness,"[[0.17116237 0.18235415 0.12034772 0.18914923 0.1946572  0.05832577
  0.08400372]]"
2423,ArianaGrande,good afternoon. i love you &amp; hello new year.,good afternoon love amp hello new year,"[[0.00310447 0.00421445 0.02286628 0.7564195  0.02414925 0.03976806
  0.1494781 ]]"
2424,taylorswift13,"Not a lot going on at the moment, or... http://t.co/37wpoitLbC",lot going moment httptco37wpoitlbc,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2425,KimKardashian,it was freezing! https://t.co/rA689giwc6,freezing httpstcora689giwc6,"[[4.0381360e-01 3.7465635e-01 1.5083010e-01 7.9529709e-06 7.0679940e-02
  1.1924634e-05 2.3644573e-09]]"
2426,KimKardashian,"#FollowFriday: Squad, Pt. 2 https://t.co/jYyXX0Qznj",followfriday squad pt 2 httpstcojyyxx0qznj,"[[3.64371091e-01 3.51949155e-01 1.06751405e-01 5.52128162e-03
  1.67715937e-01 3.60930059e-03 8.18108747e-05]]"
2427,instagram,"Transforming into tigers, from head to toe #WHPimitation https://t.co/qMkof950cc",transforming tigers head toe whpimitation httpstcoqmkof950cc,"[[0.2802522  0.29447806 0.12605804 0.04252637 0.24067199 0.01515202
  0.00086142]]"
2428,taylorswift13,"Thanks for the beach day, @GQMagazine ☀️ http://t.co/o91BaiRQYp",thanks beach day gqmagazine ☀️ httptcoo91bairqyp,"[[0.03380464 0.04010241 0.07487679 0.60200995 0.10099182 0.07973701
  0.06847737]]"
2429,Twitter,We've revamped our Ads Center: http://t.co/YhOWR4ldnW Better reporting tools and real-time management. via @TwitterAds,weve revamped ads center httptcoyhowr4ldnw better repoing tools realtime management via twitterads,"[[3.5035414e-01 3.4508938e-01 1.1487036e-01 4.3347478e-03 1.8328220e-01
  2.0484882e-03 2.0671916e-05]]"
2430,cnnbrk,GOP publishes its 'Pence won' page ahead of tonight's debate. https://t.co/YscVRiwA5Q,gop publishes pence page ahead tonights debate httpstcoyscvriwa5q,"[[3.4739894e-01 3.4198618e-01 1.3595891e-01 1.0515545e-03 1.7319374e-01
  4.1000542e-04 7.0658609e-07]]"
2431,taylorswift13,"Writing letters, giving haircuts, signing cd covers. Backstage activities.",writing letters giving haircuts signing cd covers backstage activities,"[[3.4848136e-01 3.4444249e-01 1.1874201e-01 3.3787021e-03 1.8344423e-01
  1.5005759e-03 1.0667286e-05]]"
2432,jtimberlake,"“@hheartbyheart: #TKO by @jtimberlake is probably the best song on The 20/20 Experience Part 2 of 2. But, #youneverknow” Ha! Nice...",“hheabyhea tko jtimberlake probably best song 2020 experience pa 2 2 youneverknow” ha nice,"[[3.0824897e-01 3.1875136e-01 1.1534273e-01 2.0550417e-02 2.2964138e-01
  7.2690323e-03 1.9617661e-04]]"
2433,cnnbrk,"Investigators retrieved an event recorder from train that crashed in NJ, will download info today, official says. https://t.co/uQtizH7OyC",investigators retrieved event recorder train crashed nj download info today official says httpstcouqtizh7oyc,"[[3.6878470e-01 3.5503274e-01 1.3056758e-01 6.8372930e-04 1.4451292e-01
  4.1730294e-04 1.0826208e-06]]"
2434,jtimberlake,"Sneak peek of the scene recording ""Please Mr. Kennedy"" from ""Inside Llewyn Davis"" #funny #awkward : http://t.co/cCK6aGLLJj -teamJT",sneak peek scene recording please mr kennedy inside llewyn davis funny awkward httptcocck6aglljj teamjt,"[[0.01109256 0.01318614 0.01473874 0.05201555 0.02158366 0.00674541
  0.8806379 ]]"
2435,selenagomez,3 million!!!!!!!!!!,3 million,"[[0.01598882 0.01830059 0.01379357 0.02766859 0.02188932 0.00462063
  0.89773846]]"
2436,BarackObama,LIVE: President Obama is speaking about today's Supreme Court immigration ruling. https://t.co/65QpzfLGS3 #ImmigrationAction,live president obama speaking todays supreme cou immigration ruling httpstco65qpzflgs3 immigrationaction,"[[0.00107716 0.00138183 0.0026218  0.01774339 0.00337905 0.0013526
  0.9724442 ]]"
2437,selenagomez,Send your questions NOW for my #SaturdayNightOnline @AskAnythingChat http://t.co/bs50LgXckT and watch it 10/17 8p w/@OnAirRomeo,send questions saturdaynightonline askanythingchat httptcobs50lgxckt watch 1017 8p wonairromeo,"[[0.02719673 0.03075516 0.02191355 0.04094705 0.03526727 0.00756347
  0.83635676]]"
2438,cnnbrk,Women's clothing retailer The Limited shuts down all its stores. https://t.co/Yo5OfOQ4Yx https://t.co/JMSZA16BhR,womens clothing retailer limited shuts stores httpstcoyo5ofoq4yx httpstcojmsza16bhr,"[[0.02302146 0.0287892  0.07172406 0.6951629  0.09745874 0.06085119
  0.02299252]]"
2439,taylorswift13,The Blank Space video just became the fastest to hit 1 billion views on @vevo &amp; Bad Blood is #1 at pop radio for a 3rd week. THANKS GUYS!!!,blank space video became fastest hit 1 billion views vevo amp bad blood 1 pop radio 3rd week thanks guys,"[[0.00634522 0.00838365 0.03493654 0.8242665  0.0421427  0.04970852
  0.0342169 ]]"
2440,katyperry,🌴🌵DON'T MISS OUR CRAZAY COLLAB ON CROSSROADS ON CMT 6/13🌵🌴 (also I will chill out on covers now bb's)… http://t.co/6phQVTbtVo,🌴🌵dont miss crazay collab crossroads cmt 613🌵🌴 also chill covers bbs… httptco6phqvtbtvo,"[[3.3407247e-01 3.3329511e-01 1.1619364e-01 6.8681422e-03 2.0703444e-01
  2.5120368e-03 2.4134382e-05]]"
2441,Twitter,"The #debates continue, streaming LIVE on Twitter. Watch the final presidential debate on Wednesday, 10/19.
https://t.co/l2fPw8j3O6",debates continue streaming live twitter watch final presidential debate wednesday 1019 httpstcol2fpw8j3o6,"[[0.00107811 0.00139792 0.00302117 0.0242985  0.00377935 0.00172355
  0.96470135]]"
2442,ladygaga,Being a songwriter is first and foremost how I identify in life. Tonight's Award means a lot to me. https://t.co/lGaSFwwjqt,songwriter first foremost identify life tonights award means lot httpstcolgasfwwjqt,"[[0.1915905  0.20708154 0.14317848 0.16386853 0.23513548 0.04884522
  0.01030024]]"
2443,BarackObama,"""We still have more to do to make sure that people with disabilities are paid fairly for their labor."" —President Obama #ADA25",still make sure people disabilities paid fairly labor —president obama ada25,"[[0.20669506 0.21584252 0.1137418  0.12736312 0.19177434 0.04551017
  0.09907293]]"
2444,selenagomez,"Spending the whole day with my family :) 
Needed it",spending whole day family needed,"[[8.9399016e-04 1.1492501e-03 2.1672423e-03 1.4304572e-02 2.7913502e-03
  1.0770177e-03 9.7761655e-01]]"
2445,katyperry,Mornin' http://t.co/xITxepPHrS,mornin httptcoxitxepphrs,"[[0.25314054 0.26806164 0.13490497 0.07394843 0.2404525  0.02667459
  0.00281724]]"
2446,katyperry,Amazing  “@kzeitz1999: @katyperry @katyslayed 🌚this one good enough http://t.co/viOBauzSeR”,amazing “kzeitz1999 katyperry katyslayed 🌚this one good enough httptcoviobauzser”,"[[2.9402369e-04 3.9811977e-04 1.1386834e-03 1.2547230e-02 1.3259533e-03
  6.8166503e-04 9.8361433e-01]]"
2447,instagram,Get involved in the upcoming Worldwide InstaMeet #LifeOnEarthWWIM13: https://t.co/IXvSmaq8La,get involved upcoming worldwide instameet lifeoneahwwim13 httpstcoixvsmaq8la,"[[0.00526229 0.00630146 0.00678963 0.02177616 0.00994362 0.00265721
  0.9472697 ]]"
2448,TheEllenShow,".@KhloeKardashian tried out a new game called ""Speak Out” and revealed parts of herself no ones ever seen before. https://t.co/A64YzA8hhc",khloekardashian tried new game called speak out” revealed pas ones ever seen httpstcoa64yza8hhc,"[[0.00441266 0.00589214 0.02747682 0.8139108  0.0310565  0.04833005
  0.06892104]]"
2449,selenagomez,Right before they say ACTION ☺️💜 #setfam http://t.co/fCkz7SWmDV,right say action ☺️💜 setfam httptcofckz7swmdv,"[[0.18839233 0.21378392 0.16086449 0.11806229 0.29711077 0.02079743
  0.00098879]]"
2450,rihanna,"Monas are rolling loudies, and my bitches so Bvalgari!! Bodies of Dulcattis'll do what the fuck you want! #UNAPOLOGETIC",monas rolling loudies bitches bvalgari bodies dulcattisll fuck want unapologetic,"[[3.1375544e-04 4.2689050e-04 1.2972656e-03 1.5635801e-02 1.4939982e-03
  8.2325877e-04 9.8000908e-01]]"
2451,selenagomez,@girlleader1 I was in South America on tour.,girlleader1 south america tour,"[[3.8515592e-01 3.6169416e-01 1.4804660e-01 6.8498797e-05 1.0497702e-01
  5.7771780e-05 2.9674236e-08]]"
2452,KimKardashian,Go to my app for all of the pics from my GQ party! https://t.co/PSKFYbITuQ,go app pics gq pay httpstcopskfybituq,"[[1.0815690e-04 1.6861749e-04 1.9944818e-03 1.3182670e-01 1.6832437e-03
  2.8971699e-03 8.6132163e-01]]"
2453,KimKardashian,REGISTER TO VOTE! https://t.co/QpsSPOar3z,register vote httpstcoqpsspoar3z,"[[0.00268121 0.00329808 0.00439249 0.01858723 0.0061334  0.00188302
  0.9630245 ]]"
2454,katyperry,AUGUST 4TH we #RISE: https://t.co/BdhKutGXCG,august 4th rise httpstcobdhkutgxcg,"[[0.00102232 0.00139123 0.0050305  0.08290116 0.00566268 0.00435651
  0.8996356 ]]"
2455,taylorswift13,I can hear the Chicago crowd screaming through the walls of my dressing room. Feeling VERY ready to play a show!,hear chicago crowd screaming walls dressing room feeling ready play show,"[[0.22631508 0.244133   0.14441665 0.09778186 0.2565144  0.02820758
  0.00263151]]"
2456,katyperry,"Well, it's nice to see you on my impromptu Q &amp; A! @piersmorgan: When are you coming on my show @katyperry?",well nice see impromptu q amp piersmorgan coming show katyperry,"[[0.3577929  0.3474434  0.09778441 0.0123427  0.1759191  0.00827297
  0.00044454]]"
2457,rihanna,No thanks ho http://t.co/8P5Yy2vH,thanks ho httptco8p5yy2vh,"[[0.00191112 0.00238257 0.00352673 0.01713294 0.00480904 0.00158168
  0.96865594]]"
2458,katyperry,It's HERE! Filmed in Junglescope - my brand new music video: http://t.co/alj6sUA4fP #ROARVIDEO,filmed junglescope brand new music video httptcoalj6sua4fp roarvideo,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2459,Twitter,"@VernonDavis85, happy Monday to you too! Thanks for bringing us closer to your game. #LoveTwitter https://t.co/et7TUgMZLc",vernondavis85 happy monday thanks bringing us closer game lovetwitter httpstcoet7tugmzlc,"[[3.6622375e-01 3.5506159e-01 1.1426356e-01 2.6337672e-03 1.6014172e-01
  1.6580978e-03 1.7585504e-05]]"
2460,TheEllenShow,Now I know why my grandma had plastic on all of her furniture. https://t.co/zCMfyYJ6Ao,know grandma plastic furniture httpstcozcmfyyj6ao,"[[3.94415498e-01 3.68375957e-01 1.25808328e-01 2.91649863e-04
  1.10796675e-01 3.10915959e-04 1.00103978e-06]]"
2461,ArianaGrande,love u more always  https://t.co/JqaYQvcLab,love u always httpstcojqayqvclab,"[[0.24868031 0.2693399  0.14079899 0.0535216  0.27398506 0.01319653
  0.00047757]]"
2462,selenagomez,Hint #2 #iwantyoutoknow 💜 http://t.co/9xctyokqmF,hint 2 iwantyoutoknow 💜 httptco9xctyokqmf,"[[0.30587512 0.31335172 0.11549961 0.02866368 0.22453517 0.01153794
  0.00053667]]"
2463,Twitter,Victory for free expression in Turkish court: https://t.co/2uTmYA2MkB,victory free expression turkish cou httpstco2utmya2mkb,"[[0.3623604  0.3498918  0.09404989 0.01350336 0.16921686 0.01018853
  0.00078912]]"
2464,ladygaga,@manilaluzon I still do girl,manilaluzon still girl,"[[0.00174332 0.00222121 0.00419213 0.02906224 0.00544564 0.00230965
  0.95502585]]"
2465,KimKardashian,GIFT GUIDE https://t.co/VkTQb9lmSz,gift guide httpstcovktqb9lmsz,"[[0.00153639 0.00210053 0.00851731 0.16859697 0.00941751 0.00864543
  0.80118585]]"
2466,rihanna,It’s a wrap! Thank you @PUMA squad. The debut #FENTYxPUMA collection is coming! https://t.co/AfthPaOH2V,it’s wrap thank puma squad debut fentyxpuma collection coming httpstcoafthpaoh2v,"[[0.220144   0.23212211 0.13502946 0.12861554 0.22556527 0.04624727
  0.01227632]]"
2467,britneyspears,Who's ready to get their Wango Tango on with me at @1027KIISFM's #WangoTango this year? Bring the action! http://t.co/wbEPw7F7ox,whos ready get wango tango 1027kiisfms wangotango year bring action httptcowbepw7f7ox,"[[3.6989859e-01 3.5625708e-01 1.1672041e-01 1.9799224e-03 1.5382023e-01
  1.3124327e-03 1.1357935e-05]]"
2468,selenagomez,"k I'm completely trying to be real model-ly type. Not working lol. Oh well pretty, wonderfully hearted… http://t.co/AvlQp7P6zr",k im completely trying real modelly type working lol oh well pretty wonderfully heaed… httptcoavlqp7p6zr,"[[0.07266913 0.0856988  0.12342194 0.45356405 0.18393497 0.06470396
  0.01600709]]"
2469,Twitter,The #VMA’s: A look back via Twitter http://t.co/ZBY8Q9l1,vma’s look back via twitter httptcozby8q9l1,"[[5.4302701e-04 8.0545858e-04 9.7127166e-03 9.2959380e-01 9.5540583e-03
  2.2467000e-02 2.7323907e-02]]"
2470,katyperry,Gone fishin 🎣 https://t.co/LQS6Z9fNH0,gone fishin 🎣 httpstcolqs6z9fnh0,"[[3.3649379e-01 3.3396474e-01 1.2325233e-01 3.9303992e-03 2.0098035e-01
  1.3715792e-03 6.8467702e-06]]"
2471,KimKardashian,Just went on the hardest hike ever today with @robkardashian,went hardest hike ever today robkardashian,"[[0.36239037 0.35040978 0.09845248 0.01040975 0.17057236 0.00739306
  0.00037227]]"
2472,katyperry,"Oh, you thought this was a joke? Tell that to the Incan gods who smiled upon me with a double rainbow… https://t.co/WqoZ2uNnfc",oh thought joke tell incan gods smiled upon double rainbow… httpstcowqoz2unnfc,"[[0.02406812 0.0298037  0.0711005  0.68595546 0.09611833 0.06527527
  0.02767858]]"
2473,ArianaGrande,20 days https://t.co/X1TBDlUe50 ♡,20 days httpstcox1tbdlue50 ♡,"[[4.82669384e-05 7.29007807e-05 4.87830868e-04 1.28952535e-02
  4.53485380e-04 3.64142237e-04 9.85678136e-01]]"
2474,shakira,Just finished cutting the last song on the album!! Shak,finished cutting last song album shak,"[[0.16170728 0.18502443 0.16075514 0.17822535 0.28134426 0.03061075
  0.00233268]]"
2475,jtimberlake,"Wow, Prince Be??? This year is crazy.

Gone too soon. RIP, good sir. You are a huge influence on me and so many.

#RIPPrinceBe",wow prince year crazy gone soon rip good sir huge influence many ripprincebe,"[[0.13667412 0.14934525 0.13036889 0.27698004 0.20083383 0.07191173
  0.03388618]]"
2476,ddlovato,Happy #FFF!! Show me your beautiful fresh Friday faces &amp; tell me what @devonnebydemi has been doing for your skin 💜💜 https://t.co/9BhniMhMQW,happy fff show beautiful fresh friday faces amp tell devonnebydemi skin 💜💜 httpstco9bhnimhmqw,"[[3.7056762e-01 3.5619593e-01 1.0268074e-01 5.9755323e-03 1.5983996e-01
  4.5860391e-03 1.5420516e-04]]"
2477,ddlovato,Damn.... That was so deep for a Twitter chat question...... 🤔😮 #AskDemi https://t.co/Qmjuz3W5HJ,damn deep twitter chat question 🤔😮 askdemi httpstcoqmjuz3w5hj,"[[0.07035214 0.0851659  0.13329914 0.44812462 0.2076113  0.04851223
  0.00693469]]"
2478,jtimberlake,"In case you missed it, check out the @Freesol video premiere...pass it on!! http://t.co/GUaDOHRj #RoleModel",case missed check freesol video premierepass httptcoguadohrj rolemodel,"[[0.00462614 0.00559244 0.00657165 0.02389463 0.0094655  0.00274381
  0.9471058 ]]"
2479,ArianaGrande,thank you Houston !! y'all were really amazing tonight. love you so so much.,thank houston yall really amazing tonight love much,"[[0.00896514 0.01050812 0.00955481 0.02453912 0.01453956 0.00347366
  0.9284196 ]]"
2480,TheEllenShow,"No matter what you celebrate, I’m wishing you all love and light and joy today, and every day.",matter celebrate i’m wishing love light joy today every day,"[[3.6026576e-01 3.5007584e-01 1.2749024e-01 1.2545319e-03 1.6025515e-01
  6.5611268e-04 2.2875752e-06]]"
2481,Twitter,@ThatDamnYank Guess you could call it... a Twitterccino. 😏 https://t.co/nigSHXJfAX,thatdamnyank guess could call twitterccino 😏 httpstconigshxjfax,"[[3.8086265e-01 3.5843214e-01 1.4109914e-01 1.8404522e-04 1.1928130e-01
  1.4053554e-04 1.4811235e-07]]"
2482,selenagomez,"Guys, that happened in real life and not just in movies. Narration by: @taylorswift13 http://t.co/iT9VXZRN8x",guys happened real life movies narration taylorswift13 httptcoit9vxzrn8x,"[[0.15860112 0.1774605  0.15201175 0.20944701 0.25143737 0.04481313
  0.0062291 ]]"
2483,TheEllenShow,"In case you missed me in #Lemonade, here it is. https://t.co/YRUO9BtDDx https://t.co/THmoEV8NSA",case missed lemonade httpstcoyruo9btddx httpstcothmoev8nsa,"[[0.27843854 0.29151717 0.12694335 0.04318571 0.24460627 0.01457208
  0.00073693]]"
2484,ArianaGrande,BABES #DangerousWoman &amp; #BeAlright are both out now!!! Pre-order the album and get both instantly —&gt; https://t.co/X1TBDlCDds,babes dangerouswoman amp bealright preorder album get instantly —gt httpstcox1tbdlcdds,"[[3.8022280e-01 3.6166713e-01 1.1944971e-01 1.0415382e-03 1.3678092e-01
  8.3242834e-04 5.4410166e-06]]"
2485,ArianaGrande,I love this so much lmao #FocusTonight  https://t.co/VfclObABgt,love much lmao focustonight httpstcovfclobabgt,"[[0.22013031 0.22683452 0.09318738 0.07147155 0.16472976 0.02817634
  0.19547023]]"
2486,taylorswift13,"December 13th is my 23rd birthday, and also the premiere of my 23rd video. How fun.",december 13th 23rd bihday also premiere 23rd video fun,"[[0.00812568 0.0095618  0.008973   0.02401894 0.01355678 0.00330813
  0.93245566]]"
